#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 224000      2.86e+00    5.15e+00      6.46e-03    1.30e-02      1.31e-01    2.66e-01    2.8e-04
 225000      2.70e+00    4.98e+00      2.92e-03    7.43e-04      1.51e-01    2.93e-01    2.8e-04
 226000      5.33e+00    4.35e+00      1.45e-02    1.37e-02      2.04e-01    1.23e-01    2.8e-04
 227000      2.27e+00    3.57e+00      4.69e-03    9.51e-03      1.09e-01    1.40e-01    2.8e-04
 228000      5.86e+00    4.65e+00      2.05e-02    1.11e-02      2.58e-01    2.44e-01    2.8e-04
 229000      2.43e+00    4.56e+00      1.11e-03    3.66e-03      1.42e-01    2.65e-01    2.8e-04
 230000      3.71e+00    5.85e+00      3.24e-03    1.95e-02      2.12e-01    2.66e-01    2.8e-04
 231000      5.43e+00    4.84e+00      1.22e-02    4.02e-03      2.89e-01    2.81e-01    2.8e-04
 232000      4.79e+00    4.45e+00      8.85e-03    6.20e-03      2.64e-01    2.52e-01    2.8e-04
 233000      4.33e+00    4.72e+00      3.02e-04    6.06e-03      2.55e-01    2.69e-01    2.8e-04
 234000      4.59e+00    5.08e+00      6.60e-03    2.36e-03      2.48e-01    2.98e-01    2.8e-04
 235000      5.76e+00    1.64e+00      1.50e-02    1.43e-03      2.95e-01    9.37e-02    2.8e-04
 236000      2.89e+00    2.25e+00      5.68e-03    3.98e-03      1.42e-01    1.15e-01    2.8e-04
 237000      2.47e+00    4.75e+00      4.23e-03    7.56e-03      1.28e-01    2.66e-01    2.8e-04
 238000      4.79e+00    5.34e+00      6.49e-03    1.68e-02      2.72e-01    2.52e-01    2.8e-04
 239000      4.70e+00    3.63e+00      4.92e-05    5.83e-03      2.77e-01    1.91e-01    2.8e-04
 240000      2.61e+00    2.77e+00      5.50e-03    2.51e-03      1.30e-01    1.67e-01    2.5e-04
 241000      4.29e+00    5.37e+00      6.44e-03    1.84e-02      2.55e-01    2.50e-01    2.5e-04
 242000      4.73e+00    1.81e+00      7.69e-03    1.37e-03      2.79e-01    1.10e-01    2.5e-04
 243000      3.29e+00    5.38e+00      5.52e-03    1.38e-02      1.80e-01    2.30e-01    2.5e-04
 244000      2.59e+00    4.55e+00      1.84e-03    8.58e-03      1.58e-01    2.64e-01    2.5e-04
 245000      4.76e+00    4.25e+00      1.10e-02    2.72e-03      2.65e-01    2.62e-01    2.5e-04
 246000      8.25e+00    4.92e+00      3.26e-02    7.71e-03      3.31e-01    2.91e-01    2.5e-04
 247000      5.53e+00    3.38e+00      1.99e-02    4.16e-03      2.47e-01    1.97e-01    2.5e-04
 248000      4.44e+00    5.36e+00      6.38e-03    1.54e-02      2.65e-01    1.93e-01    2.5e-04
 249000      4.19e+00    4.88e+00      2.48e-04    1.15e-02      2.61e-01    2.71e-01    2.5e-04
 250000      6.07e+00    1.11e+00      2.01e-02    3.89e-03      1.26e-01    6.96e-05    2.5e-04
 251000      6.31e+00    4.82e+00      8.89e-03    1.50e-02      3.77e-01    2.39e-01    2.5e-04
 252000      4.60e+00    2.54e+00      1.28e-02    3.99e-03      2.41e-01    1.41e-01    2.5e-04
 253000      5.99e+00    4.54e+00      2.04e-02    7.82e-04      2.80e-01    2.82e-01    2.5e-04
 254000      4.63e+00    4.51e+00      4.32e-03    7.00e-03      2.83e-01    2.68e-01    2.5e-04
 255000      4.20e+00    4.39e+00      1.32e-02    8.23e-03      1.17e-01    2.54e-01    2.5e-04
 256000      4.54e+00    2.47e+00      1.04e-02    6.32e-03      2.53e-01    1.05e-01    2.5e-04
 257000      4.45e+00    4.57e+00      9.92e-03    5.47e-03      2.49e-01    2.76e-01    2.5e-04
 258000      2.32e+00    5.06e+00      5.44e-03    1.37e-02      1.08e-01    2.68e-01    2.5e-04
