#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 215000      5.36e+00    5.67e+00      8.28e-03    8.34e-03      2.86e-01    3.04e-01    3.2e-04
 216000      6.74e+00    5.40e+00      2.69e-02    3.01e-03      2.52e-01    2.99e-01    3.2e-04
 217000      4.90e+00    4.45e+00      4.19e-03    8.06e-03      2.69e-01    2.33e-01    3.2e-04
 218000      5.00e+00    5.58e+00      4.05e-03    1.43e-02      2.75e-01    2.73e-01    3.2e-04
 219000      5.24e+00    5.33e+00      1.57e-02    1.34e-02      2.43e-01    2.62e-01    3.2e-04
 220000      5.32e+00    6.17e+00      1.51e-02    2.45e-02      2.63e-01    2.39e-01    2.8e-04
 221000      4.90e+00    4.73e+00      5.26e-03    3.85e-03      2.82e-01    2.75e-01    2.8e-04
 222000      4.92e+00    4.85e+00      1.14e-02    4.22e-03      2.60e-01    2.82e-01    2.8e-04
 223000      4.37e+00    5.04e+00      1.29e-02    1.23e-02      2.13e-01    2.63e-01    2.8e-04
 224000      6.71e+00    4.43e+00      2.51e-02    4.44e-03      2.79e-01    2.56e-01    2.8e-04
 225000      5.63e+00    4.70e+00      1.43e-02    5.85e-03      2.90e-01    2.69e-01    2.8e-04
 226000      4.73e+00    4.03e+00      6.05e-03    5.90e-03      2.70e-01    2.28e-01    2.8e-04
 227000      5.12e+00    7.49e+00      1.00e-02    3.16e-02      2.80e-01    2.65e-01    2.8e-04
 228000      4.51e+00    4.39e+00      4.78e-03    1.63e-04      2.60e-01    2.58e-01    2.8e-04
 229000      4.37e+00    5.15e+00      4.33e-03    8.31e-03      2.53e-01    2.89e-01    2.8e-04
 230000      4.26e+00    5.41e+00      5.36e-03    1.00e-02      2.43e-01    2.98e-01    2.8e-04
 231000      4.14e+00    5.15e+00      1.17e-03    8.77e-03      2.43e-01    2.87e-01    2.8e-04
 232000      5.12e+00    4.70e+00      1.12e-02    3.23e-03      2.74e-01    2.74e-01    2.8e-04
 233000      4.47e+00    5.13e+00      3.68e-03    1.10e-02      2.60e-01    2.76e-01    2.8e-04
 234000      4.33e+00    5.10e+00      5.94e-03    4.41e-03      2.46e-01    2.96e-01    2.8e-04
 235000      4.89e+00    4.10e+00      6.71e-03    3.45e-03      2.78e-01    2.38e-01    2.8e-04
 236000      5.12e+00    4.61e+00      1.38e-02    7.38e-03      2.58e-01    2.58e-01    2.8e-04
 237000      5.07e+00    5.12e+00      1.21e-03    6.84e-03      2.98e-01    2.92e-01    2.8e-04
 238000      4.60e+00    4.62e+00      2.91e-03    7.40e-04      2.69e-01    2.72e-01    2.8e-04
 239000      4.67e+00    4.87e+00      3.95e-03    9.86e-03      2.71e-01    2.64e-01    2.8e-04
 240000      4.12e+00    4.52e+00      5.56e-03    6.40e-03      2.47e-01    2.70e-01    2.5e-04
 241000      4.73e+00    4.56e+00      2.35e-03    7.35e-03      2.93e-01    2.69e-01    2.5e-04
 242000      5.75e+00    4.33e+00      2.04e-02    6.89e-03      2.61e-01    2.56e-01    2.5e-04
 243000      5.41e+00    5.71e+00      1.35e-02    1.63e-02      2.95e-01    2.96e-01    2.5e-04
 244000      4.46e+00    5.14e+00      6.60e-03    1.40e-02      2.65e-01    2.72e-01    2.5e-04
 245000      5.68e+00    4.72e+00      1.67e-02    1.19e-02      2.91e-01    2.56e-01    2.5e-04
 246000      5.87e+00    7.85e+00      2.20e-02    3.39e-02      2.52e-01    2.69e-01    2.5e-04
 247000      4.11e+00    4.31e+00      2.14e-03    2.17e-03      2.54e-01    2.67e-01    2.5e-04
 248000      5.20e+00    4.31e+00      9.44e-03    6.26e-03      3.03e-01    2.57e-01    2.5e-04
 249000      6.70e+00    4.99e+00      1.62e-02    7.50e-03      3.68e-01    2.97e-01    2.5e-04
 250000      4.75e+00    4.62e+00      4.58e-03    6.29e-03      2.90e-01    2.77e-01    2.5e-04
 251000      5.32e+00    4.36e+00      1.65e-02    5.54e-03      2.64e-01    2.62e-01    2.5e-04
 252000      4.98e+00    4.00e+00      1.01e-02    1.71e-03      2.85e-01    2.48e-01    2.5e-04
 253000      4.54e+00    4.46e+00      4.06e-03    1.44e-03      2.78e-01    2.77e-01    2.5e-04
 254000      4.91e+00    5.02e+00      9.51e-03    1.41e-03      2.83e-01    3.11e-01    2.5e-04
 255000      4.55e+00    4.11e+00      6.86e-03    1.86e-03      2.71e-01    2.54e-01    2.5e-04
